key,abbreviation
antlia_2,AntII
aquarius_1,Aqu
aquarius_2,AqrII
aquarius_3,AqrIII
aquarius_4,AquIV
bootes_1,BooI
bootes_2,BooII
bootes_3,BooIII
bootes_4,BooIV
bootes_5,BooV
canes_venatici_1,CVnI
canes_venatici_2,CVnII
carina_1,Car
carina_2,CarII
carina_3,CarIII
carina_4,CarIV
centaurus_1,CenI
cetus_1,Cet
cetus_2,CetII
cetus_3,CetIII
columba_1,ColI
coma_berenices_1,Com
crater_2,CrtII
donatiello_5,Do V
donatiello_6,Do VI
donatiello_7,Do VII
donatiello_8,Do VIII
donatiello_9,Do IX
draco_1,Dra
draco_2,DraII
eridanus_2,EriII
eridanus_4,EriIV
fornax_1,For
grus_1,GruI
grus_2,GruII
hercules_1,Her
horologium_1,HorI
horologium_2,HorII
hydra_2,HyaII
hydrus_1,HyiI
hydrus_a,HyiA
ic_1613,IC1613
leo_1,LeoI
leo_2,LeoII
leo_4,LeoIV
leo_5,LeoV
leo_6,LeoVI
leo_k,LeoK
leo_m,LeoM
leo_minor_1,LMiI
leo_t,LeoT
lmc,LMC
ngc_0253-sculptor_26,SC26
ngc_6822,NGC6822
pegasus_3,PegIII
pegasus_4,PegIV
pegasus_dirr,PegdIrr
pegasus_w,PegW
phoenix_1,Phe
phoenix_2,PheII
phoenix_3,PheIII
pictor_1,PicI
pictor_2,PicII
pisces_2,PscII
pisces_7,PscVII
reticulum_2,RetII
reticulum_3,RetIII
sagittarius_1,Sgr
sculptor_1,Scl
segue_1,Seg1
segue_2,Seg2
sextans_1,Sex
sextans_2,SexII
smc,SMC
triangulum_2,TriII
tucana_1,Tuc
tucana_2,TucII
tucana_3,TucIII
tucana_4,TucIV
tucana_5,TucV
ursa_major_1,UMaI
ursa_major_2,UMaII
ursa_minor_1,UMi
virgo_1,VirI
virgo_2,VirII
virgo_3,VirIII
willman_1,Wil1
wlm,WLM
